<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.14	239.234	243.582	197.899	197.960	13150	0	12044
2018.03.15	197.936	218.108	189.448	208.904	13345	0	12041
2018.03.16	208.985	215.592	196.239	210.854	11055	0	12072
2018.03.19	199.263	214.999	188.772	202.352	13966	0	12069
2018.03.20	202.351	225.753	198.852	218.904	11047	0	12029
2018.03.21	218.903	229.568	205.690	211.635	12693	0	12098
2018.03.22	211.263	216.746	195.953	200.212	10427	0	12103
2018.03.23	199.019	207.823	190.515	203.878	10675	0	12145
2018.03.26	204.181	207.010	180.067	182.044	10049	0	12149
2018.03.27	182.043	191.604	177.103	184.741	10704	0	12216
2018.03.28	184.792	193.984	178.385	189.000	11273	0	12175
2018.03.29	189.000	194.900	170.880	170.881	12285	0	12174
2018.03.30	170.881	175.222	155.092	166.524	13710	0	12093
2018.04.02	169.002	173.645	166.582	166.586	11211	0	12157
2018.04.03	166.585	184.358	166.563	180.331	13231	0	12078
2018.04.04	180.332	182.254	161.807	163.787	8416	0	12156
2018.04.05	163.787	167.142	157.063	166.230	10609	0	12119
2018.04.06	166.230	167.111	156.412	156.513	10566	0	12245
2018.04.09	164.285	172.650	155.959	156.098	11320	0	12168
2018.04.10	156.082	160.851	156.006	158.304	12178	0	12276
2018.04.11	158.295	163.518	157.617	159.615	8608	0	12062
2018.04.12	159.616	186.134	159.080	179.802	8982	0	12056
2018.04.13	179.800	194.947	178.818	182.473	12070	0	12141
2018.04.16	193.128	196.732	182.264	184.767	11913	0	12010
2018.04.17	184.093	195.444	184.093	189.502	7278	0	12208
2018.04.18	189.502	226.534	187.150	222.201	10688	0	12097
2018.04.19	222.201	231.798	218.797	229.395	10947	0	12103
2018.04.20	229.397	249.239	229.393	246.776	9851	0	12136
2018.04.23	267.110	279.436	262.089	272.380	8742	0	12251
2018.04.24	272.375	291.617	271.316	288.836	11424	0	12063
2018.04.25	288.832	289.474	240.773	263.860	15217	0	12156
2018.04.26	263.887	268.726	241.813	262.896	15362	0	12154
2018.04.27	262.898	263.945	245.352	245.354	11663	0	12022
2018.04.30	244.388	251.870	231.144	243.447	11573	0	12183
2018.05.01	243.446	243.455	221.864	230.435	10728	0	12059
2018.05.02	230.436	243.134	230.433	242.738	11106	0	12103
2018.05.03	242.740	250.638	236.021	242.355	10225	0	12038
2018.05.04	242.351	243.411	232.829	235.931	11715	0	12036
2018.05.07	226.001	230.290	214.972	226.600	11321	0	12007
2018.05.08	226.600	228.235	213.760	216.788	10748	0	12101
2018.05.09	216.788	226.300	210.118	220.330	12852	0	12298
2018.05.10	220.713	226.672	211.579	213.110	11451	0	12270
2018.05.11	213.109	215.116	189.254	191.787	12570	0	12086
2018.05.14	203.174	211.036	188.782	206.804	13357	0	10510
2018.05.15	206.016	212.500	197.638	198.843	12704	0	10175
2018.05.16	198.843	198.995	186.768	191.470	10250	0	10049
2018.05.17	191.468	197.377	189.396	190.972	10615	0	10095
2018.05.18	190.972	194.401	181.166	191.869	9738	0	10132
2018.05.21	198.601	199.546	188.391	190.007	5947	0	10173
2018.05.22	190.007	193.485	172.677	172.926	6652	0	10141
2018.05.23	172.927	174.848	160.097	165.826	7891	0	10045
2018.05.24	165.827	171.557	155.178	164.985	9460	0	10001
2018.05.25	164.983	168.366	157.720	158.569	8569	0	10082
2018.05.28	160.434	162.170	149.777	149.928	7675	0	10134
2018.05.29	149.928	161.001	141.597	153.562	8761	0	10148
2018.05.30	153.562	155.599	146.670	147.913	7012	0	10158
2018.05.31	147.913	153.456	147.101	152.383	7581	0	10278
2018.06.01	152.382	152.384	147.392	150.891	6640	0	10166
2018.06.04	165.674	166.067	152.221	155.620	8843	0	10189
2018.06.05	155.620	163.712	151.143	161.912	8490	0	10217
2018.06.06	161.912	162.360	155.996	159.157	9688	0	10156
2018.06.07	159.348	165.786	158.062	158.737	9824	0	10170
2018.06.08	158.737	159.506	151.173	153.344	9323	0	10305
2018.06.11	128.034	134.225	126.166	127.509	10819	0	10169
2018.06.12	127.509	132.798	114.532	118.880	7076	0	10046
2018.06.13	118.837	120.672	107.352	108.571	7102	0	10145
2018.06.14	108.573	128.916	107.748	125.504	9630	0	10167
2018.06.15	125.490	127.806	118.043	122.271	8493	0	10265
2018.06.18	119.039	123.438	113.523	120.873	7844	0	10164
2018.06.19	120.874	125.065	118.671	119.690	8948	0	10310
2018.06.20	119.486	120.616	113.922	116.969	7839	0	10175
2018.06.21	116.969	119.148	115.930	116.317	7960	0	10138
2018.06.22	116.344	118.678	103.907	103.916	7576	0	10034
2018.06.25	116.479	124.316	114.672	121.241	9110	0	10016
2018.06.26	121.242	124.752	115.785	116.479	6750	0	10024
2018.06.27	116.479	123.788	113.832	121.321	8119	0	10244
2018.06.28	121.321	128.858	120.923	122.942	9526	0	10115
2018.06.29	122.942	123.265	108.712	111.879	8869	0	10145
2018.07.02	123.878	137.715	122.441	135.711	7563	0	10053
2018.07.03	135.711	138.571	131.053	134.784	8243	0	10015
2018.07.04	134.540	140.681	131.216	137.251	7965	0	10119
2018.07.05	137.254	138.429	128.176	129.165	7309	0	10201
2018.07.06	129.165	133.513	125.076	131.001	7482	0	4397
2018.07.09	136.546	138.906	134.001	134.992	6417	0	4013
2018.07.10	134.775	136.224	119.699	120.573	8715	0	4202
2018.07.11	120.573	126.780	118.245	119.943	6793	0	4133
2018.07.12	119.943	123.155	115.943	117.589	5759	0	4087
2018.07.13	117.589	122.466	114.500	119.138	4689	0	4111
2018.07.16	121.577	133.233	120.457	131.076	5248	0	4019
2018.07.17	131.076	145.503	130.175	140.792	6092	0	4089
2018.07.18	140.832	147.358	136.043	137.543	6227	0	4074
2018.07.19	137.543	141.224	135.381	137.080	7484	0	4080
2018.07.20	137.080	138.955	127.926	128.025	5450	0	4089
2018.07.23	128.001	140.161	125.800	131.633	6501	0	4125
2018.07.24	131.632	141.913	130.641	138.560	9143	0	4073
2018.07.25	138.560	146.824	136.173	138.358	7164	0	4103
2018.07.26	138.359	143.000	138.214	138.479	6430	0	4175
2018.07.27	138.479	139.696	132.940	138.495	7569	0	4118
2018.07.30	133.347	133.782	126.244	129.658	6345	0	4135
2018.07.31	129.658	131.643	118.973	119.034	7665	0	4217
2018.08.01	119.034	127.756	117.186	119.642	9091	0	4154
2018.08.02	119.567	128.183	119.003	119.354	5095	0	4274
2018.08.03	119.354	120.563	112.558	117.606	5358	0	4145
2018.08.06	112.878	117.484	110.616	111.322	4830	0	4270
2018.08.07	111.322	115.999	109.204	109.903	6339	0	4166
2018.08.08	109.519	109.519	91.273	93.099	4920	0	4070
2018.08.09	93.100	99.954	90.431	97.579	6845	0	4256
2018.08.10	97.580	98.656	92.126	92.126	6061	0	4359
2018.08.13	91.439	94.965	87.168	88.826	4377	0	4078
2018.08.14	88.827	88.908	74.936	77.820	5668	0	4169
2018.08.15	77.820	91.550	77.092	86.371	7692	0	4185
2018.08.16	86.372	90.259	86.243	87.091	5799	0	4116
2018.08.17	87.094	95.584	86.583	93.878	6866	0	4181
2018.08.20	95.656	100.185	92.433	96.171	6945	0	4186
2018.08.21	96.171	96.330	89.398	90.313	6307	0	4189
2018.08.22	90.433	96.010	86.465	86.481	4678	0	4148
2018.08.23	86.481	88.892	85.479	86.320	4590	0	4224
2018.08.24	86.320	91.012	85.904	90.213	4792	0	4178
2018.08.27	90.709	99.687	90.709	99.493	6957	0	4366
2018.08.28	99.492	104.691	97.627	102.906	5379	0	4073
2018.08.29	102.906	105.999	98.536	100.048	6539	0	4331
2018.08.30	100.048	103.879	94.573	97.575	3713	0	4310
2018.08.31	97.575	114.315	97.482	113.198	6835	0	4196
2018.09.03	119.215	133.183	116.594	132.179	7336	0	4184
2018.09.04	132.179	137.939	131.366	134.324	6684	0	4060
2018.09.05	134.325	137.915	113.869	119.042	7022	0	4049
2018.09.06	119.043	119.722	106.212	111.430	5768	0	4085
2018.09.07	111.430	117.487	107.529	110.201	4653	0	4334
2018.09.10	107.379	108.484	101.408	102.882	4861	0	4137
2018.09.11	102.883	106.206	98.925	100.928	4675	0	4130
2018.09.12	100.928	103.259	94.582	98.543	3968	0	4215
2018.09.13	98.544	113.792	98.541	109.512	5586	0	4083
2018.09.14	109.513	113.531	106.881	113.325	6128	0	4193
2018.09.17	115.044	117.806	105.478	106.822	5428	0	4096
2018.09.18	106.822	110.468	101.461	109.855	6168	0	4184
2018.09.19	109.856	110.204	101.941	108.730	4487	0	4100
2018.09.20	108.731	111.110	106.796	108.914	4119	0	4246
2018.09.21	108.914	121.849	108.664	120.961	5646	0	4024
2018.09.24	118.786	121.185	114.092	115.957	4876	0	4239
2018.09.25	115.957	115.957	108.817	112.578	5936	0	4068
2018.09.26	112.578	115.248	110.089	112.682	5282	0	4269
2018.09.27	112.680	118.589	110.829	117.268	5810	0	4174
2018.09.28	117.268	119.594	113.030	114.241	6684	0	4185
2018.10.01	112.126	115.287	110.011	112.760	3867	0	4120
2018.10.02	112.760	114.211	109.980	113.110	3862	0	4275
2018.10.03	113.110	117.577	109.256	110.315	7009	0	4225
2018.10.04	110.312	114.298	110.289	112.496	5504	0	4277
2018.10.05	112.496	112.929	111.568	111.949	3541	0	4243
2018.10.08	110.840	113.326	110.692	112.513	3980	0	4132
2018.10.09	112.519	112.584	111.137	111.162	3209	0	4206
2018.10.10	111.162	112.318	109.680	112.161	5053	0	4053
2018.10.11	112.162	112.873	99.309	102.275	7320	0	4146
2018.10.12	102.276	102.557	97.953	100.344	6597	0	4132
