<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.20	1.121	1.136	1.114	1.129	10450	0	0
2017.02.21	1.129	1.156	1.100	1.143	13885	0	0
2017.02.22	1.143	1.154	1.098	1.108	16776	0	0
2017.02.23	1.107	1.122	1.072	1.119	16150	0	0
2017.02.24	1.119	1.146	1.082	1.088	17931	0	0
2017.02.25	1.089	1.117	1.062	1.113	9073	0	0
2017.02.26	1.113	1.150	1.075	1.136	6802	0	0
2017.02.27	1.136	1.153	1.107	1.122	16581	0	0
2017.02.28	1.122	1.145	1.095	1.130	14950	0	0
2017.03.01	1.130	1.296	1.101	1.240	19230	0	0
2017.03.02	1.240	1.270	1.181	1.217	16962	0	0
2017.03.03	1.218	1.277	1.174	1.238	18998	0	0
2017.03.04	1.238	1.319	1.222	1.252	9935	0	0
2017.03.05	1.253	1.275	1.219	1.231	13625	0	0
2017.03.06	1.231	1.256	1.223	1.241	18267	0	0
2017.03.07	1.241	1.259	1.170	1.191	16990	0	0
2017.03.08	1.191	1.211	1.134	1.163	18187	0	0
2017.03.09	1.161	1.182	1.129	1.160	22553	0	0
2017.03.10	1.160	1.192	1.136	1.184	19842	0	0
2017.03.11	1.184	1.239	1.064	1.215	8386	0	0
2017.03.12	1.216	1.297	1.214	1.259	8134	0	0
2017.03.13	1.271	1.480	1.245	1.414	15018	0	0
2017.03.14	1.414	1.592	1.409	1.437	15767	0	0
2017.03.15	1.426	1.572	1.399	1.550	14397	0	0
2017.03.16	1.550	1.835	1.526	1.835	19673	0	0
2017.03.17	1.835	2.087	1.633	1.826	17818	0	0
2017.03.18	1.825	1.825	1.478	1.519	13234	0	0
2017.03.19	1.519	1.850	1.495	1.849	12529	0	0
2017.03.20	1.850	1.896	1.765	1.856	11579	0	0
2017.03.21	1.856	2.344	1.818	2.221	11443	0	0
2017.03.22	2.222	2.420	2.130	2.223	14130	0	0
2017.03.23	2.212	2.295	2.125	2.229	9305	0	0
2017.03.24	2.228	2.421	2.158	2.334	11810	0	0
2017.03.25	2.334	2.404	2.231	2.320	12751	0	0
2017.03.26	2.320	2.327	2.187	2.238	12190	0	0
2017.03.27	2.248	2.287	2.068	2.133	10975	0	0
2017.03.28	2.144	2.271	2.012	2.271	9237	0	0
2017.03.29	2.271	2.321	2.165	2.291	8651	0	0
2017.03.30	2.291	2.367	2.188	2.367	10348	0	0
2017.03.31	2.357	3.161	2.357	2.643	12925	0	0
2017.04.01	2.643	2.781	2.636	2.704	9231	0	0
2017.04.02	2.702	2.756	2.384	2.607	10294	0	0
2017.04.03	2.607	2.736	2.434	2.580	10080	0	0
2017.04.04	2.534	2.660	2.440	2.611	7810	0	0
2017.04.05	2.611	2.714	2.554	2.680	7838	0	0
2017.04.06	2.681	2.775	2.405	2.406	10577	0	0
2017.04.07	2.406	2.646	2.368	2.535	8057	0	0
2017.04.08	2.535	2.776	2.422	2.703	9725	0	0
2017.04.09	2.701	2.714	2.496	2.605	8648	0	0
2017.04.10	2.604	2.642	2.480	2.566	6801	0	0
2017.04.11	2.567	2.589	2.513	2.528	7519	0	0
2017.04.12	2.528	2.647	2.481	2.611	8706	0	0
2017.04.13	2.611	2.630	2.502	2.571	9402	0	0
2017.04.14	2.571	2.604	2.512	2.600	8726	0	0
2017.04.15	2.600	2.701	2.572	2.631	8287	0	0
2017.04.16	2.631	2.660	2.566	2.595	6234	0	0
2017.04.17	2.593	2.654	2.543	2.608	8941	0	0
2017.04.18	2.609	3.037	2.551	2.889	10054	0	0
2017.04.19	2.889	3.215	2.816	3.190	11075	0	0
2017.04.20	3.188	3.497	3.097	3.298	12380	0	0
2017.04.21	3.298	3.452	3.203	3.237	10450	0	0
2017.04.22	3.251	3.362	3.065	3.323	7617	0	0
2017.04.23	3.325	3.649	3.316	3.603	10689	0	0
2017.04.24	3.603	4.294	3.574	4.109	12757	0	0
2017.04.25	4.109	4.344	3.993	4.040	11132	0	0
2017.04.26	4.040	5.089	4.034	4.739	12425	0	0
2017.04.27	4.738	5.516	4.738	5.280	14601	0	0
2017.04.28	5.294	5.487	4.834	5.132	13682	0	0
2017.04.29	5.132	5.748	5.011	5.638	13227	0	0
2017.04.30	5.638	6.910	5.604	6.794	14193	0	0
2017.05.01	6.793	7.961	6.271	6.938	19186	0	0
2017.05.02	6.938	7.444	6.482	7.035	16353	0	0
2017.05.03	7.035	7.221	6.719	6.923	14828	0	0
2017.05.04	6.923	7.642	6.909	7.074	16817	0	0
2017.05.05	7.075	7.744	6.774	6.991	16997	0	0
2017.05.06	6.991	7.274	6.653	6.931	11003	0	0
2017.05.07	6.929	7.467	6.807	7.133	13095	0	0
2017.05.08	7.133	7.211	6.365	6.449	14442	0	0
2017.05.09	6.448	6.551	4.674	5.901	15930	0	0
2017.05.10	5.901	6.615	5.533	6.078	15970	0	0
2017.05.11	6.078	6.417	5.605	6.004	11748	0	0
2017.05.12	6.003	6.227	5.828	5.908	13403	0	0
2017.05.13	5.908	6.014	5.502	5.688	12415	0	0
2017.05.14	5.684	6.726	5.647	6.427	12097	0	0
2017.05.15	6.428	6.607	5.780	6.021	13787	0	0
