<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.01	577.580	598.000	575.220	591.100	4847	0	0
2014.08.02	591.100	592.790	576.210	582.820	6022	0	0
2014.08.03	582.820	585.400	572.560	581.000	3855	0	0
2014.08.04	580.000	588.500	576.000	581.860	4400	0	0
2014.08.05	581.860	582.990	574.760	579.010	6139	0	0
2014.08.06	578.410	584.170	572.400	576.800	4056	0	0
2014.08.07	576.500	588.980	575.150	585.970	4407	0	0
2014.08.08	585.970	594.990	583.010	589.800	4505	0	0
2014.08.09	589.700	591.000	580.420	584.000	4215	0	0
2014.08.10	582.000	589.700	580.500	584.010	3419	0	0
2014.08.11	584.010	587.710	572.100	574.020	4745	0	0
2014.08.12	572.930	580.000	560.940	566.630	8771	0	0
2014.08.13	566.630	570.000	523.000	535.100	12194	0	0
2014.08.14	535.100	539.630	491.310	507.500	13559	0	0
2014.08.15	507.500	517.000	483.490	488.880	10970	0	0
2014.08.16	488.400	513.490	480.000	511.900	9767	0	0
2014.08.17	511.910	518.990	480.160	480.160	10483	0	0
2014.08.18	480.150	497.000	334.000	430.190	18482	0	0
2014.08.19	430.200	486.010	427.140	473.970	15318	0	0
2014.08.20	473.960	518.120	455.570	500.000	13449	0	0
2014.08.21	500.000	528.920	495.150	511.810	13449	0	0
2014.08.22	511.810	520.420	491.110	512.020	10978	0	0
2014.08.23	512.020	514.000	483.040	485.100	7717	0	0
2014.08.24	485.320	511.010	485.000	504.280	8465	0	0
2014.08.25	504.280	508.000	492.850	501.220	7193	0	0
2014.08.26	501.210	514.360	496.310	507.950	6773	0	0
2014.08.27	507.940	517.860	505.010	509.980	7253	0	0
2014.08.28	509.970	512.220	498.060	503.630	5906	0	0
2014.08.29	503.630	507.260	495.600	504.280	5291	0	0
2014.08.30	504.360	506.130	496.000	498.180	4288	0	0
2014.08.31	498.190	499.260	472.200	476.890	13715	0	0
2014.09.01	476.880	488.000	469.470	480.000	7450	0	0
2014.09.02	478.500	481.870	465.630	475.520	7150	0	0
2014.09.03	475.520	475.990	469.410	472.000	4151	0	0
2014.09.04	471.420	493.620	467.900	487.810	4989	0	0
2014.09.05	487.810	489.910	477.300	480.300	5507	0	0
2014.09.06	477.230	483.000	475.510	481.310	3016	0	0
2014.09.07	481.300	484.760	475.530	476.000	3288	0	0
2014.09.08	476.010	480.000	460.670	470.630	8582	0	0
2014.09.09	470.190	473.510	461.360	470.090	5614	0	0
2014.09.10	470.140	483.010	459.700	474.760	5489	0	0
2014.09.11	474.760	478.700	467.000	469.100	5076	0	0
2014.09.12	470.000	473.900	464.930	469.300	4780	0	0
2014.09.13	469.300	474.200	466.000	471.460	4485	0	0
2014.09.14	471.460	472.980	464.960	469.630	3446	0	0
2014.09.15	469.620	470.000	464.890	466.830	5001	0	0
2014.09.16	466.830	468.910	455.110	456.130	7549	0	0
2014.09.17	455.810	459.060	434.170	437.120	8850	0	0
2014.09.18	437.470	449.000	391.110	399.000	14854	0	0
2014.09.19	399.000	426.050	371.120	385.620	15361	0	0
2014.09.20	385.620	414.000	377.460	395.910	11539	0	0
2014.09.21	396.080	402.840	373.740	380.690	11819	0	0
2014.09.22	380.690	398.990	377.390	388.240	7714	0	0
2014.09.23	387.290	446.040	381.000	436.600	11355	0	0
2014.09.24	437.500	439.170	410.000	415.930	9304	0	0
2014.09.25	415.930	416.540	396.220	400.000	8230	0	0
2014.09.26	400.000	412.160	388.640	395.340	6526	0	0
2014.09.27	395.030	397.830	387.030	389.000	3902	0	0
2014.09.28	388.920	394.660	370.300	373.830	6659	0	0
2014.09.29	374.040	385.430	361.120	371.860	10301	0	0
2014.09.30	371.860	388.950	364.070	382.000	7613	0	0
2014.10.01	381.900	385.000	372.100	373.630	6021	0	0
2014.10.02	373.340	378.640	363.820	367.310	4776	0	0
2014.10.03	367.390	369.040	342.000	343.220	6978	0	0
2014.10.04	343.010	352.920	308.600	315.170	11632	0	0
2014.10.05	315.820	335.050	285.010	304.690	14512	0	0
2014.10.06	304.760	342.990	295.460	329.720	16114	0	0
2014.10.07	329.720	337.710	313.100	324.640	11539	0	0
2014.10.08	324.640	346.830	322.500	344.490	8964	0	0
2014.10.09	344.670	381.750	343.030	362.990	12678	0	0
2014.10.10	362.580	370.770	346.640	350.930	10738	0	0
2014.10.11	351.060	363.500	345.330	356.310	7154	0	0
2014.10.12	356.970	374.010	348.300	366.740	7015	0	0
2014.10.13	367.070	384.880	362.100	382.900	10666	0	0
2014.10.14	382.930	408.200	380.830	398.000	11425	0	0
2014.10.15	398.000	400.760	380.200	386.970	8035	0	0
2014.10.16	387.000	391.500	362.780	373.410	9054	0	0
2014.10.17	373.410	381.750	367.760	377.650	6219	0	0
2014.10.18	377.600	388.880	374.000	386.010	5371	0	0
2014.10.19	386.010	388.250	379.500	383.090	4960	0	0
2014.10.20	383.100	385.750	372.500	377.160	6334	0	0
2014.10.21	377.160	385.500	373.410	379.980	5908	0	0
2014.10.22	379.980	382.990	375.000	376.990	5543	0	0
2014.10.23	377.000	379.010	355.000	356.860	7533	0	0
2014.10.24	356.860	359.990	349.120	350.850	7291	0	0
2014.10.25	350.850	355.000	337.820	347.900	7250	0	0
2014.10.26	347.900	358.460	344.000	350.500	5542	0	0
2014.10.27	350.510	354.930	342.200	349.420	7216	0	0
2014.10.28	349.330	355.880	346.000	350.400	4900	0	0
2014.10.29	350.500	351.800	335.550	336.240	5810	0	0
2014.10.30	335.660	352.000	327.960	345.970	7800	0	0
2014.10.31	345.970	349.600	332.000	337.000	6312	0	0
2014.11.01	337.000	337.990	319.140	320.850	7995	0	0
2014.11.02	320.680	328.510	319.100	324.420	5906	0	0
2014.11.03	324.460	334.990	320.800	322.870	7715	0	0
2014.11.04	322.870	328.120	319.160	323.860	6242	0	0
2014.11.05	323.860	338.990	322.900	336.890	6117	0	0
2014.11.06	337.090	348.350	332.700	345.830	5968	0	0
2014.11.07	345.810	350.010	337.010	339.600	6349	0	0
2014.11.08	339.610	344.560	337.320	341.190	4625	0	0
2014.11.09	341.190	358.700	340.120	356.120	5958	0	0
2014.11.10	356.120	374.600	354.420	366.610	8396	0	0
2014.11.11	366.600	372.670	358.000	363.000	6615	0	0
2014.11.12	363.000	429.000	360.960	418.900	13538	0	0
2014.11.13	418.900	454.000	385.100	400.010	18243	0	0
2014.11.14	400.000	421.000	377.980	391.100	13972	0	0
2014.11.15	391.190	403.010	365.160	376.450	10047	0	0
2014.11.16	376.500	388.510	369.340	380.550	8347	0	0
2014.11.17	380.550	405.940	373.030	379.900	10657	0	0
2014.11.18	379.900	388.580	367.430	373.190	9079	0	0
2014.11.19	373.190	386.340	368.000	372.800	8198	0	0
2014.11.20	372.800	377.920	353.110	354.390	7405	0	0
2014.11.21	354.380	357.520	339.670	348.100	9001	0	0
2014.11.22	348.100	362.130	345.150	354.100	7042	0	0
2014.11.23	354.100	366.480	348.420	366.150	6044	0	0
2014.11.24	365.810	385.820	361.640	376.010	8753	0	0
2014.11.25	376.880	389.000	367.890	371.000	8959	0	0
2014.11.26	371.000	374.790	362.000	363.780	7047	0	0
2014.11.27	363.780	369.990	361.050	366.190	6368	0	0
2014.11.28	365.580	380.920	354.000	377.300	6469	0	0
2014.11.29	376.010	385.760	369.500	371.350	7207	0	0
2014.11.30	371.560	378.000	370.150	373.330	4314	0	0
2014.12.01	373.990	382.310	372.000	377.320	5590	0	0
2014.12.02	377.640	381.920	372.870	373.980	4894	0	0
2014.12.03	374.000	378.850	367.990	370.630	5896	0	0
2014.12.04	370.630	373.990	362.560	364.600	4460	0	0
2014.12.05	364.600	372.900	360.440	370.870	4728	0	0
2014.12.06	370.870	372.350	364.050	368.140	3383	0	0
2014.12.07	368.240	371.000	365.620	368.260	3349	0	0
2014.12.08	368.730	369.000	357.160	359.000	4914	0	0
2014.12.09	358.930	360.000	337.390	346.070	8321	0	0
2014.12.10	346.070	348.000	341.510	342.130	5180	0	0
2014.12.11	340.750	356.000	332.510	341.740	8003	0	0
2014.12.12	341.740	349.560	339.880	347.250	5379	0	0
2014.12.13	347.250	347.500	340.040	341.840	4379	0	0
2014.12.14	341.690	346.940	336.950	344.350	3989	0	0
2014.12.15	344.350	344.900	335.180	336.110	6876	0	0
2014.12.16	335.480	340.000	320.050	321.110	8360	0	0
2014.12.17	321.110	328.500	312.800	318.880	9207	0	0
2014.12.18	318.500	323.140	304.050	311.260	10669	0	0
2014.12.19	311.260	317.500	304.990	313.970	6440	0	0
2014.12.20	313.960	330.010	310.910	325.130	7731	0	0
